1	0.0009
2	0.0018
3	0.0045
4	0.0081
5	0.013
6	0.0183
7	0.0271
8	0.0351
9	0.0428
10	0.0514
11	0.0589
12	0.0666
13	0.0768
14	0.0861
15	0.0946
16	0.1027
17	0.1113
18	0.1207
19	0.1284
20	0.1367
21	0.1444
22	0.1522
23	0.1595
24	0.1651
25	0.1724
26	0.1777
27	0.1836
28	0.1887
29	0.1947
30	0.2005
31	0.2039
32	0.2069
33	0.211
34	0.2135
35	0.2159
36	0.2183
37	0.2207
38	0.2218
39	0.2238
40	0.2249
41	0.2261
42	0.2273
43	0.2283
44	0.2298
45	0.2311
46	0.2319
47	0.2327
48	0.2334
49	0.2337
50	0.2341
51	0.2348
52	0.2351
53	0.2355
54	0.2358
55	0.2361
56	0.2366
57	0.2367
58	0.2368
59	0.2368
60	0.2371
61	0.2374
62	0.2378
63	0.2378
64	0.2378
65	0.2381
66	0.2382
67	0.2383
68	0.2384
69	0.2385
70	0.2385
71	0.2386
72	0.2386
73	0.2386
74	0.2386
75	0.2386
76	0.2386
77	0.2386
78	0.2386
79	0.2386
80	0.2386
81	0.2387
