1	0.0011
2	0.002
3	0.01
4	0.0206
5	0.0344
6	0.0511
7	0.0659
8	0.0833
9	0.0995
10	0.1164
11	0.1324
12	0.147
13	0.1622
14	0.1772
15	0.1897
16	0.2005
17	0.2101
18	0.219
19	0.228
20	0.2369
21	0.2451
22	0.2512
23	0.2574
24	0.263
25	0.2668
26	0.2706
27	0.2745
28	0.2788
29	0.2822
30	0.286
31	0.2884
32	0.2908
33	0.2938
34	0.2958
35	0.2984
36	0.3003
37	0.302
38	0.3041
39	0.306
40	0.3075
41	0.3089
42	0.3103
43	0.3111
44	0.3125
45	0.3131
46	0.3135
47	0.3143
48	0.3151
49	0.3158
50	0.3164
51	0.3171
52	0.3175
53	0.3177
54	0.3183
55	0.3188
56	0.3193
57	0.3198
58	0.32
59	0.3201
60	0.3207
61	0.321
62	0.321
63	0.3212
64	0.3214
65	0.3216
66	0.3216
67	0.3217
68	0.3217
69	0.3219
70	0.3221
71	0.3221
72	0.3221
73	0.3221
74	0.3222
75	0.3222
76	0.3224
77	0.3225
78	0.3225
79	0.3225
80	0.3225
81	0.3225
82	0.3225
83	0.3226
84	0.3227
